name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Andorra la Vella,AD,,ADALV,ALV,Andorra la Vella,4230N 00131E,42.5078,1.5211,Europe/Andorra,2020-03-03
Arandis,,,ADI,ADI,Arandis Airport,,-22.4622,14.9800,Africa/Windhoek,2020-10-25
Al Ain,AE,,AEAAN,AAN,Al Ain City,,24.1917,55.7606,Asia/Dubai,2019-05-29
Abu Dhabi,AE,AZ,AEAUH,AUH,Abu Dhabi,2428N 05422E,24.4512,54.3970,Asia/Dubai,2019-09-05
Al Dhafra,AE,,AEDHF,DHF,Al Dhafra Air Base,2414N 05432E,24.2484,54.5485,Asia/Dubai,2013-05-18
Dubai World Central Apt,AE,,AEDWC,DWC,Dubai World Central - Al Maktoum International Airport,2453N 05510E,24.8978,55.1591,Asia/Dubai,2014-04-15
Dubai,AE,DU,AEDXB,DXB,Dubai,2515N 05516E,25.0772,55.3093,Asia/Dubai,2019-08-28
Al Fujayrah,AE,FU,AEFJR,FJR,Al Fujairah City,2507N 05620E,25.1164,56.3414,Asia/Dubai,2019-05-29
Minhad,AE,,AENHD,NHD,Al Minhad Air Base,,25.0267,55.3695,Asia/Dubai,2013-06-16
Ras Al Khor,AE,DU,AERAK,RAK,Ras Al Khaimah City,2517N 05534E,25.7895,55.9432,Asia/Dubai,2019-09-09
Ras al Khaimah,AE,,AERKT,RKT,Ras Al Khaimah City,2547N 05557E,25.7895,55.9432,Asia/Dubai,2019-09-09
Sharjah,AE,SH,AESHJ,SHJ,Sharjah,2521N 05523E,25.3374,55.4121,Asia/Dubai,2019-09-05
Bamian,AF,,AFBIN,BIN,Bamiyan Airport,,34.8086,67.8182,Asia/Kabul,2018-02-17
Bost,AF,,AFBST,BST,Lashkar Gah,,31.5938,64.3716,Asia/Kabul,2020-06-09
Chaghcharan,AF,,AFCCN,CCN,Fayroz Koh,3431N 06515E,34.5195,65.2509,Asia/Kabul,2020-06-09
Darwaz,AF,,AFDAZ,DAZ,Darwaz Airport,,38.4611,70.8825,Asia/Kabul,2018-02-17
Farah,AF,,AFFAH,FAH,Farah,,32.3745,62.1164,Asia/Kabul,2018-02-17
Faizabad,AF,,AFFBD,FBD,Fayzabad,,37.1166,70.5800,Asia/Kabul,2018-02-17
Gardez,AF,,AFGRG,GRG,Gardez Old Airfield,,33.6283,69.2377,Asia/Kabul,2018-02-13
Ghazni,AF,,AFGZI,GZI,Ghazni,,33.5539,68.4210,Asia/Kabul,2018-02-17
Herat,AF,,AFHEA,HEA,Herat International Airport,,34.2111,62.2285,Asia/Kabul,2018-02-17
Jalalabad,AF,,AFJAA,JAA,Jalalabad,,34.4265,70.4515,Asia/Kabul,2020-06-09
Kabul,AF,,AFKBL,KBL,Kabul,,34.5281,69.1723,Asia/Kabul,2019-09-05
Kandahar,AF,,AFKDH,KDH,Ahmad Shah Baba International Airport,,31.5074,65.8504,Asia/Kabul,2020-07-28
Khost,AF,,AFKHT,KHT,Khost,,33.3395,69.9204,Asia/Kabul,2020-06-09
Kuran-O-Munjan,AF,,AFKUR,KUR,Kuran wa Munjan,,36.0287,70.7726,Asia/Kabul,2018-02-17
Khwahan,AF,,AFKWH,KWH,Deh Khwahan,,37.8897,70.2188,Asia/Kabul,2020-06-09
Qala Nau,AF,,AFLQN,LQN,Qala i Naw,,34.9873,63.1289,Asia/Kabul,2018-02-17
Maimana,AF,,AFMMZ,MMZ,Maymana,,35.9214,64.7836,Asia/Kabul,2018-02-17
Mazar-i-Sharif,AF,,AFMZR,MZR,Mazar-e Sharif,3642N 06706E,36.7090,67.1109,Asia/Kabul,2020-06-09
Sardeh Band,AF,,AFSBF,SBF,Sardeh Band,,33.2989,68.6311,Asia/Kabul,2018-02-17
Sheghnan,AF,,AFSGA,SGA,Shighnan District,,37.6167,71.4500,Asia/Kabul,2018-02-13
Tirinkot,AF,,AFTII,TII,Tarinkot,,32.6300,65.8781,Asia/Kabul,2018-02-13
Taluqan,AF,,AFTQN,TQN,Taloqan,,36.7360,69.5345,Asia/Kabul,2018-02-17
Kunduz,AF,,AFUND,UND,Kunduz,,36.7289,68.8570,Asia/Kabul,2019-02-26
Urgoon,AF,,AFURN,URN,Urgun,,32.9515,69.1828,Asia/Kabul,2018-02-17
Uruzgan,AF,,AFURZ,URZ,Uruzgan,,32.9020,66.6340,Asia/Kabul,2018-02-17
Zaranj,AF,,AFZAJ,ZAJ,Zaranj,,30.9596,61.8604,Asia/Kabul,2018-02-13
Antigua,AG,,AGANU,ANU,V. C. Bird International Airport,,17.1367,-61.7927,America/Antigua,2016-11-29
Barbuda,AG,,AGBBQ,BBQ,Barbuda Codrington Airport,,17.6361,-61.8263,America/Antigua,2013-06-30
Anguilla,AI,,AIAXA,AXA,Clayton J. Lloyd International Airport,,18.2048,-63.0551,America/Anguilla,2013-03-31
Ai-Ais,,,AIW,AIW,Ai-Ais,,-27.9167,17.4833,Africa/Windhoek,2012-01-17
Tirana,AL,,ALTIA,TIA,Tirana International Airport Nene Tereza,,41.4219,19.7130,Europe/Tirane,2018-03-20
Yerevan,AM,ER,AMEVN,EVN,Zvartnots International Airport,4011N 04431E,40.1525,44.4022,Asia/Yerevan,2013-05-11
Gyumri,AM,,AMLWN,LWN,Gyumri,4048N 04350E,40.7942,43.8453,Asia/Yerevan,2019-09-05
Andulo,AO,,AOANL,ANL,Andulo Airport,,-11.4725,16.7113,Africa/Luanda,2013-06-07
N'Zeto,AO,,AOARZ,ARZ,N'zeto,,-7.2312,12.8666,Africa/Luanda,2017-07-07
Ambriz,AO,,AOAZZ,AZZ,Ambriz Airport,,-7.8622,13.1161,Africa/Luanda,2011-03-17
Benguela,AO,,AOBUG,BUG,Monbaca Benguela,,-12.6090,13.4037,Africa/Luanda,2007-01-03
Cabinda,AO,,AOCAB,CAB,Cabinda Airport,,-5.5970,12.1883,Africa/Luanda,2011-03-28
Cazombo,AO,,AOCAV,CAV,Cazombo Airport,,-11.8931,22.9164,Africa/Luanda,2011-03-17
Catumbela,AO,,AOCBT,CBT,Catumbela Airport,,-12.4792,13.4869,Africa/Luanda,2016-10-25
Waku Kungo,AO,,AOCEO,CEO,Uacu Cungo,1121S 01507E,-11.3567,15.1172,Africa/Luanda,2015-04-24
Cafunfo,AO,,AOCFF,CFF,Cafunfo Airport,,-8.7836,17.9897,Africa/Luanda,2011-03-17
