name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
's-Gravenzande,NL,,NLGRZ,GRZ,'s-Gravenzande,5200N 00410E,52.0017,4.1653,Europe/Amsterdam,2017-10-17
's-Hertogenbosch,NL,,NLHTB,HTB,'s-Hertogenbosch,5142N 00519E,51.6992,5.3042,Europe/Amsterdam,2020-01-13
Aachen,DE,,DEAAH,AAH,Aachen,,50.7766,6.0834,Europe/Berlin,2014-05-11
Aalborg,DK,,DKAAL,AAL,Aalborg,,57.0480,9.9187,Europe/Copenhagen,2019-09-05
Aalen,DE,,DEAAL,AAL,Aalen,,48.8378,10.0933,Europe/Berlin,2014-05-09
Aalsmeer,NL,,NLAAM,AAM,Aalsmeer,,52.2592,4.7597,Europe/Amsterdam,2017-10-17
Aalst,BE,,BEAAB,AAB,Aalst,5056N 00402E,50.9360,4.0355,Europe/Brussels,2020-06-01
Aalten,NL,,NLLTE,LTE,Aalten,,51.9250,6.5806,Europe/Amsterdam,2017-10-17
Aalter,BE,,BEAAL,AAL,Aalter,5105N 00327E,51.0902,3.4469,Europe/Brussels,2019-01-17
Aarschot,BE,,BEAAS,AAS,Aarschot,5059N 00450E,50.9871,4.8369,Europe/Brussels,2012-01-18
Aba,NG,,NGQAX,QAX,Aba,0507N 00722E,5.1066,7.3667,Africa/Lagos,2020-06-29
Abadan,IR,,IRABD,ABD,Abadan,,30.3392,48.3043,Asia/Tehran,2019-09-05
Abadeh,IR,,IRJBD,JBD,Abadeh,3002N 05232E,31.1608,52.6506,Asia/Tehran,2020-06-30
Abaetetuba,BR,,BRATB,ATB,Abaetetuba,0142S 04854W,-1.7181,-48.8825,America/Belem,2012-08-03
Abaeté,BR,,BRABT,ABT,Abaete,1909S 04527W,-19.1600,-45.4458,America/Sao_Paulo,2012-08-03
Abakaliki,NG,,NGABA,ABA,Abakaliki,0620N 08600E,6.3248,8.1137,Africa/Lagos,2016-01-30
Abakan,RU,,RUABA,ABA,Abakan,5342N 09125E,53.7156,91.4292,Asia/Krasnoyarsk,2019-09-05
Abancay,PE,,PEAB4,AB4,Abancay,1338S 07252W,-13.6339,-72.8814,America/Lima,2020-07-01
Abano Terme,IT,,ITAOM,AOM,Abano Terme,4521N 01147E,45.3575,11.7873,Europe/Rome,2014-04-13
Abashiri,JP,,JPABA,ABA,Abashiri,,44.0213,144.2697,Asia/Tokyo,2018-05-06
Abasolo,MX,,MXASO,ASO,Abasolo,,20.4500,-101.5307,America/Mexico_City,2018-11-03
Abbeville,FR,,FRABB,ABB,Abbeville,5006N 00150E,50.1052,1.8355,Europe/Paris,2019-04-10
Abbiategrasso,IT,,ITATR,ATR,Abbiategrasso,4524N 00854E,45.3982,8.9168,Europe/Rome,2014-01-16
Abbotsford,CA,,CAABB,ABB,Abbotsford,,49.0580,-122.2526,America/Vancouver,2019-02-26
Abbottabad,PK,,PKAAW,AAW,Abbottabad,,34.1463,73.2117,Asia/Karachi,2020-07-01
Abdulino,RU,,RUABD,ABD,Abdulino,5342N 05340E,53.7000,53.6667,Asia/Yekaterinburg,2019-09-05
Abengourou,CI,,CIOGO,OGO,Abengourou,,6.7297,-3.4964,Africa/Abidjan,2016-05-21
Abeokuta,NG,,NGAKA,AKA,Abeokuta,0709N 00320E,7.1557,3.3451,Africa/Lagos,2016-01-30
