name,subdivision,country_code,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Aadorf,TG,CH,CHARF,ARF,Aadorf,4729N 00854E,47.49204,8.90099,Europe/Zurich,2013-03-28
Aarau,AG,CH,CHAAR,AAR,Aarau,,47.392540000000004,8.04422,Europe/Zurich,2020-06-29
Aarberg,BE,CH,CHABG,ABG,Aarberg,4703N 00717E,47.04439,7.27578,Europe/Zurich,2013-02-28
Aarburg,AG,CH,CHAAB,AAB,Aarburg,4718N 00753E,47.32067,7.89986,Europe/Zurich,2019-09-11
Aaron,GA,US,USOQU,OQU,Aaron,3234N 08159W,32.568220000000004,-81.99234,America/New_York,2006-01-15
Aaronsburg,PA,US,USAA7,AA7,Aaronsburg,4053N 07727W,40.89979,-77.45331999999999,America/New_York,2017-05-23
Aarwangen,BE,CH,CHAWG,AWG,Aarwangen,4714N 00745E,47.23845,7.76854,Europe/Zurich,2013-03-01
Abbeville,AL,US,USABB,ABB,Abbeville,,31.57184,-85.25049,America/Chicago,2017-03-09
Abbeville,LA,US,USUAB,UAB,Abbeville,,29.97465,-92.13429000000001,America/Chicago,2017-03-09
Abbeville,MS,US,USAV4,AV4,Abbeville,3430N 08930W,34.50316,-89.50314,America/Chicago,2017-03-09
Abbeville,SC,US,USABF,ABF,Abbeville,,34.17817,-82.37901,America/New_York,2017-03-09
Abbotsford,WI,US,USABD,ABD,Abbotsford,,44.94636,-90.31597,America/Chicago,2017-05-23
Abbott,TX,US,US9AB,9AB,Abbott,3153N 09704W,31.88488,-97.07334,America/Chicago,2017-03-09
Abbott Park,IL,US,USABJ,ABJ,Abbott Park,4219N 08751W,41.72087,-87.62171,America/Chicago,2006-01-15
Abbottstown,PA,US,USAQW,AQW,Abbottstown,3953N 07659W,39.88649,-76.9847,America/New_York,2017-05-23
Abbyville,KS,US,USA4B,A4B,Abbyville,3758N 09812W,37.97085,-98.20423000000001,America/Chicago,2017-05-23
Abercrombie,ND,US,USAC8,AC8,Abercrombie,4626N 09643W,46.44774,-96.73036,America/Chicago,2017-05-23
Aberdeen,ID,US,USAPD,APD,Aberdeen,4256N 11250W,42.94408,-112.83833,America/Boise,2017-03-09
Aberdeen,KY,US,USABK,ABK,Aberdeen,3715N 08641W,37.25394,-86.68165,America/Chicago,2006-01-15
Aberdeen,MD,US,USAPG,APG,Aberdeen,,39.50956,-76.16412,America/New_York,2017-09-24
Aberdeen,MS,US,USAEK,AEK,Aberdeen,3349N 08833W,33.825109999999995,-88.54366,America/Chicago,2017-03-09
Aberdeen,NC,US,USUAE,UAE,Aberdeen,,35.13155,-79.42948,America/New_York,2017-03-09
Aberdeen,OH,US,USAHD,AHD,Aberdeen,3839N 08345W,38.65563,-83.76103,America/New_York,2017-05-23
Aberdeen,SD,US,USABR,ABR,Aberdeen,4527N 09829W,45.4647,-98.48648,America/Chicago,2017-05-23
Aberdeen,WA,US,USGHR,GHR,Aberdeen,4658N 12349W,46.97537,-123.81572,America/Los_Angeles,2017-03-09
Abernathy,TX,US,USUAF,UAF,Abernathy,,33.8323,-101.84295,America/Chicago,2017-03-09
Abilene,KS,US,USABZ,ABZ,Abilene,,38.91722,-97.21391,America/Chicago,2019-09-05
Abilene,TX,US,USABI,ABI,Abilene,,32.44874,-99.73314,America/Chicago,2019-09-05
Abingdon,IL,US,USABG,ABG,Abingdon,,40.80448,-90.4018,America/Chicago,2017-05-23
Abingdon,MD,US,USNGD,NGD,Abingdon,3927N 07616W,39.46233,-76.27911999999999,America/New_York,2010-09-05
Abingdon,VA,US,USVJI,VJI,Abingdon,3642N 08159W,36.70983,-81.97735,America/New_York,2017-04-08
Abington,MA,US,USUUM,UUM,Abington,4207N 07056W,42.104820000000004,-70.94532,America/New_York,2017-05-23
Abington,PA,US,USAP3,AP3,Abington,4007N 07507W,40.120670000000004,-75.11795,America/New_York,2017-05-23
Abiquiu,NM,US,USAQ2,AQ2,Abiquiu,3612N 10619W,36.207240000000006,-106.31863999999999,America/Denver,2011-05-14
Abita Springs,LA,US,USTPG,TPG,Abita Springs,3028N 09002W,30.478640000000002,-90.04008,America/Chicago,2017-03-09
Aboa,,AQ,AQABA,ABA,Aboa,7303S 01325W,-73.05,-13.416670000000002,Antarctica/McMurdo,2008-01-02
Abrams,WI,US,USQYA,QYA,Abrams,4446N 08803W,44.77916,-88.05983,America/Chicago,2017-05-23
Absecon,NJ,US,USACX,ACX,Absecon,3925N 07429W,39.42845,-74.49571,America/New_York,2017-05-23
Abtwil,SG,CH,CHABT,ABT,Abtwil,4725N 00919E,47.42373,9.32113,Europe/Zurich,2013-06-14
Acajutla,,SV,SVAQJ,AQJ,Acajutla,,13.566670000000002,-89.83333,America/El_Salvador,2006-10-29
Acampo,CA,US,USAA4,AA4,Acampo,3810N 12117W,38.174640000000004,-121.27856000000001,America/Los_Angeles,2011-05-14
Acarigua,,VE,VEAGV,AGV,Acarigua,,9.55342,-69.23754,America/Caracas,2007-01-03
Accident,MD,US,USAJT,AJT,Accident,3938N 07919W,39.6287,-79.31976,America/New_York,2017-03-09
Accokeek,MD,US,USJOK,JOK,Accokeek,3840N 07701W,38.66762,-77.02831,America/New_York,2011-05-14
Accomac,VA,US,USAQC,AQC,Accomac,3743N 07539W,37.719570000000004,-75.66548,America/New_York,2017-03-09
Accord,MA,US,USA8C,A8C,Accord,4210N 07053W,42.17455,-70.88365999999999,America/New_York,2017-05-23
Accord,NY,US,USAC9,AC9,Accord,4147N 07413W,41.78565,-74.22904,America/New_York,2017-05-23
Ackerman,MS,US,USUAG,UAG,Ackerman,3318N 08910W,33.31012,-89.17284000000001,America/Chicago,2017-03-09
Ackley,IA,US,USAKY,AKY,Ackley,,42.55415,-93.05326,America/Chicago,2017-05-23
Aclens,VD,CH,CHACL,ACL,Aclens,4634N 00631E,46.56825,6.51091,Europe/Zurich,2017-07-26
Acme,MI,US,USDMF,DMF,Acme,4446N 08530W,44.77195,-85.50146,America/Detroit,2019-10-16
Acme,WA,US,USQZA,QZA,Acme,4843N 12212W,48.71706,-122.20516,America/Los_Angeles,2011-05-14
Acquarossa,TI,CH,CHACQ,ACQ,Acquarossa,4627N 00857E,46.45473,8.94261,Europe/Zurich,2017-09-13
Acra,NY,US,USQCA,QCA,Acra,4218N 07403W,42.31092,-74.05541,America/New_York,2017-05-23
Acton,CA,US,USAXJ,AXJ,Acton,3428N 11811W,34.46999,-118.19673999999999,America/Los_Angeles,2014-10-08
Acton,IN,US,UST5C,T5C,Acton,3939N 08558W,39.6556,-85.96693,America/Indiana/Indianapolis,2017-05-23
Acton,MA,US,USUAH,UAH,Acton,,42.48509,-71.43284,America/New_York,2017-05-23
Acton,ME,US,US8ON,8ON,Acton,4332N 07054W,43.53425,-70.90978,America/New_York,2017-05-23
Acton,TX,US,USTZO,TZO,Acton,3226N 09741W,32.44681,-97.6903,America/Chicago,2006-01-15
Acushnet,MA,US,USKUS,KUS,Acushnet,4140N 07054W,41.680659999999996,-70.90782,America/New_York,2017-05-23
Acworth,GA,US,USAWR,AWR,Acworth,,34.06635,-84.67837,America/New_York,2017-03-09
Acworth,NH,US,US6WT,6WT,Acworth,4313N 07217W,43.21785,-72.29203000000001,America/New_York,2017-05-23
Ada,MI,US,USADZ,ADZ,Ada,,42.9542,-85.48891,America/Detroit,2017-05-23
Ada,MN,US,USDD2,DD2,Ada,4718N 09631W,47.299690000000005,-96.51535,America/Chicago,2017-05-23
Ada,OH,US,USAJJ,AJJ,Ada,4046N 08349W,40.7695,-83.82271,America/New_York,2017-05-23
Ada,OK,US,USADT,ADT,Ada,,34.77453,-96.67834,America/Chicago,2017-03-09
Adair,IA,US,USA59,A59,Adair,4130N 09438W,41.49971,-94.63914,America/Chicago,2017-05-23
Adair,OK,US,US2AR,2AR,Adair,3626N 09516W,36.43676,-95.27136,America/Chicago,2017-03-09
Adairsville,GA,US,USADV,ADV,Adairsville,,34.3687,-84.93411,America/New_York,2017-03-09
Adairville,KY,US,USAD3,AD3,Adairville,3640N 08651W,36.66754,-86.85194,America/Chicago,2017-03-09
Adak,AK,US,USAXK,AXK,Adak,5152N 17639E,51.87395,-176.63402,America/Adak,2017-11-13
Adams,MA,US,USUAN,UAN,Adams,,42.62425,-73.1176,America/New_York,2017-05-23
Adams,OR,US,USUAT,UAT,Adams,,45.76735,-118.56246999999999,America/Los_Angeles,2017-03-09
Adams,TN,US,USAKM,AKM,Adams,3635N 08704W,36.58227,-87.06555999999999,America/Chicago,2017-03-09
Adams,WI,US,USAZM,AZM,Adams,4357N 08948W,43.95608,-89.81818,America/Chicago,2017-05-23
Adams Center,NY,US,USADH,ADH,Adams Center,4349N 07601W,43.86006,-76.00548,America/New_York,2017-05-23
Adams City,CO,US,USYP2,YP2,Adams City,3949N 10455W,39.82665,-104.92886999999999,America/Denver,2007-02-14
Adams Run,SC,US,USUAJ,UAJ,Adams Run,3243N 08021W,32.720729999999996,-80.34816,America/New_York,2006-01-15
Adamston,WV,US,USDST,DST,Adamston,3917N 08021W,39.29064,-80.35786999999999,America/New_York,2006-01-15
Adamstown,MD,US,USAN6,AN6,Adamstown,3918N 07728W,39.31094,-77.47471,America/New_York,2011-05-14
